1,没有,7265
2,酒店,5201
3,京东,4483
4,房间,3966
5,就是,2952
6,不好,2691
7,这个,2636
8,什么,2608
9,还是,2540
10,不是,2521
11,感觉,2512
12,东西,2298
13,可以,2219
14,差评,2155
15,知道,2141
16,苹果,2119
17,服务,2044
18,垃圾,2009
19,而且,1995
20,客服,1962
21,一般,1906
22,问题,1895
23,手机,1887
24,不能,1883
25,这样,1793
26,非常,1725
27,一样,1720
28,质量,1685
29,但是,1661
30,时候,1565
31,自己,1561
32,还有,1521
33,失望,1510
34,蒙牛,1490
35,我们,1460
36,不会,1458
37,有点,1445
38,前台,1433
39,一次,1422
40,以后,1414
41,入住,1381
42,价格,1375
43,怎么,1345
44,比较,1342
45,一点,1341
46,这么,1335
47,不要,1325
48,快递,1321
49,真的,1315
50,结果,1287
51,不错,1265
52,收到,1232
53,现在,1215
54,第一次,1192
55,大家,1116
56,你们,1064
57,发现,1045
58,裤子,1024
59,屏幕,1018
60,味道,1008
61,包装,995
62,已经,987
63,这次,977
64,因为,971
65,携程,967
66,居然,964
67,根本,950
68,只能,944
69,只有,935
70,特别,929
71,很多,927
72,满意,925
73,服务员,920
74,水果,896
75,里面,891
76,不到,880
77,假货,867
78,真是,860
79,如果,857
80,一直,854
81,晚上,844
82,设施,838
83,系统,837
84,那么,831
85,觉得,829
86,电话,824
87,实在,821
88,时间,819
89,早餐,796
90,两个,790
91,打开,784
92,态度,780
93,一下,776
94,方便,764
95,他们,754
96,其他,753
97,购物,749
98,衣服,747
99,退货,745
100,华为,742
101,不想,739
102,为什么,727
103,物流,725
104,不行,723
105,建议,722
106,不如,716
107,竟然,711
108,应该,706
109,很差,697
110,头发,690
111,太差,684
112,所以,679
113,直接,678
114,这种,677
115,不过,672
116,购买,664
117,图片,658
118,打电话,657
119,第二天,657
120,出来,654
121,降价,652
122,洗发水,650
123,声音,643
124,新鲜,635
125,是不是,619
126,地方,618
127,小时,618
128,完全,617
129,太小,613
130,可能,613
131,超市,606
132,便宜,605
133,严重,604
134,喜欢,602
135,希望,602
136,电池,599
137,平板,595
138,看到,594
139,本来,592
140,产品,592
141,一天,586
142,朋友,583
143,不了,582
144,开始,577
145,客人,577
146,本书,576
147,之前,576
148,支持,575
149,使用,574
150,之后,573
151,以前,570
152,最后,568
153,机场,561
154,网上,555
155,10,555
156,评价,551
157,效果,549
158,这家,546
159,火龙果,546
160,麻烦,534
161,发货,532
162,下次,524
163,起来,522
164,然后,516
165,无法,510
166,头皮屑,510
167,赠品,507
168,要求,502
169,联系,500
170,显示,494
171,可是,491
172,需要,483
173,虽然,482
174,内存,482
175,驱动,482
176,还要,481
177,功能,481
178,差劲,480
179,服务态度,478
180,颜色,478
181,差差,478
182,发票,476
183,售后,476
184,商家,468
185,简直,467
186,超级,464
187,有些,460
188,只是,459
189,今天,459
190,几天,453
191,后来,452
192,速度,450
193,不值,448
194,再也,443
195,后悔,442
196,这是,439
197,洗完,436
198,几个,435
199,最差,433
200,明显,431
201,商品,429
202,情况,424
203,三个,423
204,很小,422
205,以为,421
206,空调,421
207,消费者,419
208,容易,417
209,选择,417
210,出现,415
211,绝对,411
212,推荐,410
213,那个,407
214,另外,399
215,退房,398
216,真心,394
217,好吃,394
218,告诉,392
219,舒服,392
220,很大,389
221,机子,389
222,好像,388
223,位置,388
224,宾馆,388
225,订单,387
226,头皮,383
227,12,381
228,下单,380
229,环境,379
230,恶心,377
231,上当,375
232,不够,374
233,怀疑,369
234,内容,367
235,送货,366
236,反应,362
237,干净,361
238,这里,359
239,自营,359
240,两天,356
241,机器,352
242,任何,351
243,早上,351
244,正品,346
245,评差,346
246,人员,345
247,卫生间,344
248,别人,338
249,隔音,338
250,一些,335
251,上面,332
252,客户,332
253,键盘,330
254,的话,329
255,XP,327
256,郁闷,325
257,没什么,324
258,陈旧,324
259,拿到,323
260,投诉,322
261,活动,322
262,说好,319
263,软件,319
264,太慢,318
265,死机,317
266,分辨率,316
267,回来,315
268,评论,314
269,原因,314
270,呵呵,313
271,下载,313
272,一星,313
273,好多,312
274,预定,311
275,30,309
276,送到,309
277,一定,307
278,20,307
279,不怎么样,306
280,估计,306
281,没用,305
282,刚买,305
283,分钟,305
284,办法,304
285,除了,304
286,外面,303
287,电脑,302
288,充电,302
289,相信,301
290,基本,300
291,安装,300
292,处理,299
293,耳机,299
294,装修,298
295,一看,295
296,不知,294
297,到货,294
298,看看,293
299,还好,291
300,必须,291
301,无语,291
302,开机,291
303,11,289
304,解决,287
305,性价比,284
306,铃声,282
307,难吃,282
308,大堂,282
309,就算,280
310,一个月,280
311,差不多,279
312,正常,279
313,短信,279
314,孩子,278
315,不买,278
316,个头,277
317,明明,275
318,一股,275
319,值得,274
320,上网,274
321,体验,274
322,申请,273
323,为了,273
324,确实,273
325,不敢,270
326,卫生,268
327,反正,267
328,适合,266
329,几次,266
330,标准,264
331,经常,264
332,做工,264
333,点评,263
334,总之,262
335,掉色,261
336,全是,260
337,别的,260
338,半天,259
339,其实,257
340,越来越,256
341,照片,256
342,肯定,255
343,不爽,253
344,飞机,253
345,没法,251
346,买回来,250
347,一般般,250
348,下午,247
349,才能,245
350,回复,245
351,所有,245
352,极差,245
353,地毯,245
354,左右,243
355,视频,243
356,信号,243
357,设计,242
358,原来,242
359,当时,242
360,窗户,242
361,两次,241
362,难道,241
363,提供,241
364,餐厅,241
365,清楚,239
366,看着,237
367,价钱,236
368,欺骗,236
369,抵制,234
370,一起,233
371,告知,233
372,第二次,232
373,事情,231
374,实际,231
375,买来,230
376,15,230
377,影响,229
378,唯一,229
379,坑人,229
380,每次,229
381,好评,229
382,解释,228
383,样子,227
384,想象,224
385,没想到,223
386,公司,223
387,配送,223
388,维修,223
389,牌子,222
390,大床,222
391,过来,220
392,不怎么,220
393,一条,219
394,卖家,219
395,摄像头,217
396,半个,216
397,注意,216
398,大小,215
399,由于,214
400,失败,214
401,接受,211
402,骗人,211
403,免费,211
404,本人,209
405,这些,208
406,换货,208
407,介绍,208
408,来说,208
409,考虑,207
410,说明,207
411,不太,207
412,整个,206
413,经理,206
414,补充,206
415,千万,205
416,对于,205
417,进去,205
418,毛巾,205
419,忽悠,204
420,自动,203
421,散热,203
422,不用,201
423,网购,201
424,再也不会,200
425,全部,199
426,不符,199
427,通过,199
428,昨天,198
429,所谓,198
430,重新,197
431,电视,197
432,硬件,197
433,人家,196
434,一颗,196
435,个人,195
436,信息,195
437,遇到,194
438,设置,193
439,要是,193
440,发霉,193
441,好看,192
442,像素,192
443,头屑,192
444,简单,191
445,顾客,191
446,并且,190
447,那种,190
448,取消,190
449,主要,189
450,糟糕,189
451,实体店,189
452,口感,189
453,懒得,188
454,按键,187
455,或者,186
456,没收,186
457,首先,186
458,确认,186
459,箱子,186
460,如此,184
461,运行,184
462,外观,183
463,洗澡,183
464,一半,182
465,上次,182
466,100,182
467,电梯,182
468,饭店,182
469,多少,181
470,一家,181
471,后面,181
472,意思,180
473,客房,180
474,同事,179
475,作者,178
476,一句,177
477,作为,176
478,相当,176
479,像是,176
480,是否,176
481,四星,176
482,几乎,175
483,当天,175
484,黑色,175
485,送来,174
486,方面,174
487,其它,173
488,找到,173
489,哪里,173
490,放在,173
491,品牌,173
492,一瓶,173
493,三星,172
494,被子,172
495,星期,171
496,不太好,170
497,一张,169
498,同样,169
499,待机时间,169
500,千万别,168
501,招待所,168
502,多次,167
503,浪费,167
504,太大,166
505,很快,165
506,我要,165
507,盒子,165
508,硬盘,165
509,尺码,165
510,不管,164
511,那里,164
512,厉害,163
513,看起来,163
514,拍照,163
515,小姐,163
516,一本,162
517,过去,162
518,心情,162
519,有时,162
520,要死,162
521,星级,162
522,收费,162
523,附近,161
524,玩意,160
525,牛奶,160
526,行李,160
527,网络,159
528,收货,158
529,有人,158
530,热水,158
531,总体,157
532,不同,157
533,各种,157
534,实物,157
535,保护,157
536,中国,155
537,最好,155
538,班车,155
539,出去,154
540,隔壁,154
541,预订,154
542,普通,153
543,从来,153
544,豪华,153
545,好好,152
546,200,152
547,看来,152
548,吹风机,152
549,准备,151
550,门口,150
551,五星,149
552,只好,149
553,马上,149
554,伊利,149
555,房价,149
556,请问,148
557,管理,148
558,游戏,148
559,打扫,148
560,尤其,147
561,重要,147
562,有个,147
563,一间,147
564,小心,146
565,升级,146
566,其中,145
567,理由,145
568,下面,145
569,说话,145
570,旁边,145
571,那些,144
572,不足,144
573,通知,144
574,会员,144
575,签收,144
576,品质,144
577,办理,143
578,一件,143
579,结帐,143
580,检测,142
581,关机,142
582,上海,141
583,缺点,141
584,蓝牙,141
585,走廊,141
586,床单,141
587,信任,140
588,自带,140
589,鼠标,140
590,本身,139
591,生气,139
592,消费,139
593,布料,139
594,当当,138
595,理解,138
596,总是,138
597,用过,138
598,企业,136
599,16,136
600,算了,136
601,通话,136
602,生鲜,136
603,不甜,136
604,最大,135
605,如何,135
606,现象,135
607,小哥,135
608,噪音,135
609,指纹,135
610,一箱,135
611,那样,134
612,不少,134
613,可怜,134
614,简陋,134
615,半夜,134
616,交通,134
617,反映,133
618,清晰,133
619,光驱,133
620,习惯,132
621,随便,132
622,可惜,132
623,618,132
624,分区,132
625,差距,131
626,刚刚,131
627,三天,131
628,太坑,131
629,不让,129
630,各位,129
631,2008,129
632,xp,129
633,于是,128
634,块钱,128
635,吃饭,128
636,瓶子,128
637,故事,127
638,工作,127
639,安排,127
640,明白,127
641,描述,127
642,宣传,126
643,回答,126
644,一会,126
645,很脏,126
646,有没有,125
647,十分,125
648,店家,125
649,不住,125
650,霉味,125
651,总台,125
652,下去,124
653,变成,124
654,优点,124
655,合适,124
656,设备,124
657,一晚,124
658,VISTA,124
659,四星级,124
660,接送,124
661,这点,123
662,是因为,123
663,区别,123
664,发错,123
665,操作,123
666,MP3,122
667,果子,122
668,一斤,122
669,第一,121
670,50,121
671,用户,121
672,充电器,121
673,司机,121
674,24,120
675,就要,120
676,护发素,120
677,至少,119
678,睡觉,119
679,穿着,119
680,光盘,118
681,也许,118
682,奇怪,118
683,一种,118
684,不高,118
685,工作人员,118
686,粗糙,117
687,每天,117
688,手感,117
689,地摊货,117
690,只要,116
691,每个,116
692,中间,116
693,退款,116
694,异味,116
695,房费,116
696,当然,115
697,提醒,115
698,无线,115
699,要么,114
700,而已,114
701,稍微,114
702,白色,114
703,这款,114
704,一分,114
705,买过,113
706,要命,113
707,看见,113
708,再次,113
709,数据线,113
710,尺寸,113
711,部分,112
712,太低,112
713,继续,112
714,以上,112
715,广告,112
716,到底,112
717,同时,112
718,要不是,112
719,诚信,112
720,下来,111
721,别买,111
722,运费,111
723,商务,111
724,号码,111
725,贴膜,111
726,整体,111
727,vista,111
728,关键,110
729,突然,110
730,一边,110
731,导致,110
732,水平,110
733,毕竟,110
734,沟通,110
735,差别,110
736,国产,110
737,发热,110
738,宽带,110
739,认为,109
740,中午,109
741,价位,109
742,不然,109
743,品种,109
744,面料,109
745,得到,108
746,折腾,108
747,说实话,108
748,提前,108
749,给我发,108
750,塑料,108
751,没好,108
752,赠送,108
753,距离,108
754,拆开,108
755,预装,108
756,外壳,108
757,到处,108
758,不近人情,108
759,地址,107
760,拒绝,107
761,到达,107
762,地理位置,107
763,表面,106
764,难看,106
765,不像,106
766,否则,106
767,终于,106
768,气愤,106
769,18,106
770,老板,106
771,听到,106
772,北京,106
773,愉快,106
774,浴室,106
